14:59:40 [WARN] Thread 4: Fetch fails: crate 2397 gluster, Download error.
14:59:40 [WARN] Thread 6: Fetch fails: crate 2397 gluster, Download error.
14:59:53 [WARN] Thread 5: Fetch fails: crate 2395 html5ever, Download error.
14:59:54 [WARN] Thread 0: Fetch fails: crate 2395 html5ever, Download error.
14:59:56 [WARN] Thread 2: Fetch fails: crate 2418 net2, Download error.
14:59:57 [WARN] Thread 0: Fetch fails: crate 2418 net2, Download error.
15:00:16 [WARN] Thread 1: Fetch fails: crate 2389 gleam, Download error.
15:00:16 [WARN] Thread 8: Fetch fails: crate 2389 gleam, Download error.
15:00:23 [WARN] Thread 11: Fetch fails: crate 2408 euclid, Download error.
15:00:23 [WARN] Thread 3: Fetch fails: crate 2408 euclid, Download error.
15:00:41 [WARN] Thread 4: Deal fails: crate 2480 cobs, corrupt deflate stream
15:04:26 [WARN] Thread 11: Fetch fails: crate 2621 c-ares-sys, Download error.
15:04:26 [WARN] Thread 6: Fetch fails: crate 2621 c-ares-sys, Download error.
15:04:27 [WARN] Thread 0: Fetch fails: crate 2622 c-ares, Download error.
15:04:28 [WARN] Thread 1: Fetch fails: crate 2622 c-ares, Download error.
15:04:33 [WARN] Thread 2: Fetch fails: crate 2589 flexi_logger, Download error.
15:04:33 [WARN] Thread 8: Fetch fails: crate 2589 flexi_logger, Download error.
15:04:39 [WARN] Thread 4: Fetch fails: crate 2652 r2d2_sqlite, Download error.
15:04:40 [WARN] Thread 0: Fetch fails: crate 2652 r2d2_sqlite, Download error.
15:04:46 [WARN] Thread 3: Fetch fails: crate 2624 combine, Download error.
15:04:47 [WARN] Thread 9: Fetch fails: crate 2624 combine, Download error.
15:08:12 [WARN] Thread 11: Fetch fails: crate 2830 postscript, Download error.
15:08:12 [WARN] Thread 3: Fetch fails: crate 2830 postscript, Download error.
15:08:26 [WARN] Thread 7: Fetch fails: crate 2837 oak, Download error.
15:08:28 [WARN] Thread 11: Fetch fails: crate 2837 oak, Download error.
15:08:29 [WARN] Thread 2: Fetch fails: crate 2845 truetype, Download error.
15:08:29 [WARN] Thread 8: Fetch fails: crate 2845 truetype, Download error.
15:09:37 [WARN] Thread 0: Fetch fails: crate 2869 llvm-sys, Download error.
15:09:37 [WARN] Thread 2: Fetch fails: crate 2869 llvm-sys, Download error.
15:12:08 [WARN] Thread 4: Fetch fails: crate 3001 trust-dns, Download error.
15:12:08 [WARN] Thread 7: Fetch fails: crate 3001 trust-dns, Download error.
15:12:16 [WARN] Thread 6: Fetch fails: crate 3045 sel4-sys, Download error.
15:12:17 [WARN] Thread 5: Fetch fails: crate 3045 sel4-sys, Download error.
15:12:32 [WARN] Thread 1: Fetch fails: crate 3066 vsop87, Download error.
15:12:33 [WARN] Thread 9: Fetch fails: crate 3066 vsop87, Download error.
15:12:41 [WARN] Thread 8: Fetch fails: crate 3031 rodio, Download error.
15:12:44 [WARN] Thread 10: Fetch fails: crate 3031 rodio, Download error.
15:13:18 [WARN] Thread 5: Fetch fails: crate 3080 bitcoin, Download error.
15:13:19 [WARN] Thread 11: Fetch fails: crate 3080 bitcoin, Download error.
15:14:57 [WARN] Thread 2: Deal fails: crate 3251 ruplicity, corrupt deflate stream
15:16:46 [WARN] Thread 7: Fetch fails: crate 3280 lettre, Download error.
15:16:46 [WARN] Thread 11: Fetch fails: crate 3280 lettre, Download error.
15:19:52 [WARN] Thread 2: Deal fails: crate 3512 expat-sys, corrupt deflate stream
15:20:01 [WARN] Thread 4: Fetch fails: crate 3494 sendgrid, Download error.
15:20:02 [WARN] Thread 10: Fetch fails: crate 3494 sendgrid, Download error.
