10:59:59 [WARN] Thread 0: Fetch fails: crate 110791 raptorq, Download error.
10:59:59 [WARN] Thread 10: Fetch fails: crate 110791 raptorq, Download error.
11:00:21 [WARN] Thread 3: Fetch fails: crate 110734 rust-pushrod, Download error.
11:00:22 [WARN] Thread 7: Fetch fails: crate 110734 rust-pushrod, Download error.
11:03:38 [WARN] Thread 8: Fetch fails: crate 112097 object-pool, Download error.
11:03:40 [WARN] Thread 0: Fetch fails: crate 111366 procs, Download error.
11:03:41 [WARN] Thread 1: Fetch fails: crate 111366 procs, Download error.
11:03:43 [WARN] Thread 3: Fetch fails: crate 112097 object-pool, Download error.
11:03:43 [WARN] Thread 11: Fetch fails: crate 112150 geml, Download error.
11:03:43 [WARN] Thread 9: Fetch fails: crate 112150 geml, Download error.
11:04:46 [WARN] Thread 2: Fetch fails: crate 112047 gnir, Download error.
11:04:49 [WARN] Thread 5: Fetch fails: crate 112047 gnir, Download error.
11:06:11 [WARN] Thread 1: Fetch fails: crate 113299 pentest-toolbox-improved, Download error.
11:06:12 [WARN] Thread 8: Fetch fails: crate 113299 pentest-toolbox-improved, Download error.
11:06:15 [WARN] Thread 2: Fetch fails: crate 113318 fluence-sdk-macro, Download error.
11:06:15 [WARN] Thread 1: Fetch fails: crate 113318 fluence-sdk-macro, Download error.
11:06:22 [WARN] Thread 6: Fetch fails: crate 113319 fluence-sdk-main, Download error.
11:06:23 [WARN] Thread 4: Fetch fails: crate 113611 libstorage, Download error.
11:06:23 [WARN] Thread 8: Fetch fails: crate 113319 fluence-sdk-main, Download error.
11:06:25 [WARN] Thread 5: Fetch fails: crate 113611 libstorage, Download error.
11:06:35 [WARN] Thread 8: Fetch fails: crate 113629 s3handler, Download error.
11:06:36 [WARN] Thread 3: Fetch fails: crate 113629 s3handler, Download error.
11:09:41 [WARN] Thread 7: Fetch fails: crate 114612 sh1106, Download error.
11:09:43 [WARN] Thread 2: Fetch fails: crate 114612 sh1106, Download error.
11:09:47 [WARN] Thread 10: Fetch fails: crate 114863 rbx_reflection, Download error.
11:09:47 [WARN] Thread 5: Fetch fails: crate 114458 svc-agent, Download error.
11:09:47 [WARN] Thread 2: Fetch fails: crate 114863 rbx_reflection, Download error.
11:09:47 [WARN] Thread 8: Fetch fails: crate 114458 svc-agent, Download error.
11:09:53 [WARN] Thread 3: Fetch fails: crate 114984 signatory-ledger-tm, Download error.
11:09:53 [WARN] Thread 1: Fetch fails: crate 114871 splr, Download error.
11:09:54 [WARN] Thread 0: Fetch fails: crate 114871 splr, Download error.
11:09:54 [WARN] Thread 8: Fetch fails: crate 114984 signatory-ledger-tm, Download error.
11:09:58 [WARN] Thread 11: Fetch fails: crate 114979 casperlabs-contract-ffi, Download error.
11:09:58 [WARN] Thread 10: Fetch fails: crate 114979 casperlabs-contract-ffi, Download error.
11:10:23 [WARN] Thread 1: Fetch fails: crate 115027 rrss2imap, Download error.
11:10:24 [WARN] Thread 4: Fetch fails: crate 115027 rrss2imap, Download error.
11:12:13 [WARN] Thread 0: Fetch fails: crate 116089 slauth, Download error.
11:12:13 [WARN] Thread 1: Fetch fails: crate 116089 slauth, Download error.
11:12:16 [WARN] Thread 6: Fetch fails: crate 116041 parsepatch, Download error.
11:12:16 [WARN] Thread 11: Fetch fails: crate 116041 parsepatch, Download error.
11:12:17 [WARN] Thread 2: Fetch fails: crate 116224 reframe, Download error.
11:12:17 [WARN] Thread 7: Fetch fails: crate 116224 reframe, Download error.
11:12:21 [WARN] Thread 11: Fetch fails: crate 116243 bitarray, Download error.
11:12:22 [WARN] Thread 8: Fetch fails: crate 116243 bitarray, Download error.
11:14:50 [WARN] Thread 6: Fetch fails: crate 117215 wasmer-emscripten, Download error.
11:14:51 [WARN] Thread 9: Fetch fails: crate 117215 wasmer-emscripten, Download error.
11:15:00 [WARN] Thread 3: Fetch fails: crate 117701 wasmer-runtime-c-api, Download error.
11:15:02 [WARN] Thread 6: Fetch fails: crate 117531 tentacle, Download error.
11:15:02 [WARN] Thread 1: Fetch fails: crate 117701 wasmer-runtime-c-api, Download error.
11:15:03 [WARN] Thread 0: Fetch fails: crate 117531 tentacle, Download error.
11:15:05 [WARN] Thread 7: Fetch fails: crate 117772 libfaster-sys, Download error.
11:15:05 [WARN] Thread 1: Fetch fails: crate 117772 libfaster-sys, Download error.
11:15:25 [WARN] Thread 8: Fetch fails: crate 117734 ahash, Download error.
11:15:25 [WARN] Thread 3: Fetch fails: crate 117734 ahash, Download error.
11:17:55 [WARN] Thread 10: Fetch fails: crate 119078 sheldon, Download error.
11:17:57 [WARN] Thread 8: Fetch fails: crate 119078 sheldon, Download error.
11:17:58 [WARN] Thread 2: Fetch fails: crate 119048 keeshond, Download error.
11:17:59 [WARN] Thread 9: Fetch fails: crate 119048 keeshond, Download error.
11:17:59 [WARN] Thread 6: Fetch fails: crate 119118 jsonpath_lib, Download error.
11:18:00 [WARN] Thread 1: Fetch fails: crate 119118 jsonpath_lib, Download error.
11:18:20 [WARN] Thread 7: Fetch fails: crate 118477 twitchchat, Download error.
11:18:21 [WARN] Thread 0: Fetch fails: crate 118477 twitchchat, Download error.
11:21:20 [WARN] Thread 2: Fetch fails: crate 120333 solana-storage-program, Download error.
11:21:20 [WARN] Thread 1: Fetch fails: crate 120333 solana-storage-program, Download error.
11:21:28 [WARN] Thread 0: Fetch fails: crate 120539 cargo-pants, Download error.
11:21:28 [WARN] Thread 8: Fetch fails: crate 120539 cargo-pants, Download error.
11:22:12 [WARN] Thread 6: Fetch fails: crate 120341 solana-vote-signer, Download error.
11:22:13 [WARN] Thread 4: Fetch fails: crate 120341 solana-vote-signer, Download error.
11:22:33 [WARN] Thread 5: Fetch fails: crate 120385 scryer-prolog, Download error.
11:22:33 [WARN] Thread 7: Fetch fails: crate 120385 scryer-prolog, Download error.
11:23:31 [WARN] Thread 11: Fetch fails: crate 120326 solana-runtime, Download error.
11:23:31 [WARN] Thread 9: Fetch fails: crate 120326 solana-runtime, Download error.
11:24:42 [WARN] Thread 9: Fetch fails: crate 122500 finalfusion, Download error.
11:24:43 [WARN] Thread 8: Deal fails: crate 122500 finalfusion, No such file or directory (os error 2)
11:24:55 [WARN] Thread 2: Fetch fails: crate 122405 openxr-sys, Download error.
11:24:56 [WARN] Thread 1: Fetch fails: crate 122405 openxr-sys, Download error.
11:24:57 [WARN] Thread 11: Fetch fails: crate 122727 glow, Download error.
11:24:57 [WARN] Thread 7: Fetch fails: crate 122727 glow, Download error.
11:24:58 [WARN] Thread 9: Fetch fails: crate 122518 web-dom, Download error.
11:24:59 [WARN] Thread 5: Fetch fails: crate 122518 web-dom, Download error.
11:25:06 [WARN] Thread 4: Fetch fails: crate 122859 chit, Download error.
11:25:08 [WARN] Thread 6: Fetch fails: crate 122859 chit, Download error.
11:25:10 [WARN] Thread 10: Fetch fails: crate 122484 wrangler, Download error.
11:25:11 [WARN] Thread 0: Fetch fails: crate 122484 wrangler, Download error.
11:27:05 [WARN] Thread 6: Fetch fails: crate 124043 scanner-rust, Download error.
11:27:06 [WARN] Thread 10: Fetch fails: crate 124043 scanner-rust, Download error.
11:27:30 [WARN] Thread 7: Fetch fails: crate 123740 ccl, Download error.
11:27:31 [WARN] Thread 11: Fetch fails: crate 123740 ccl, Download error.
11:29:12 [WARN] Thread 8: Fetch fails: crate 123856 solana-client, Download error.
